iter	Passed	Remaining
0	149	149792
1	152	75960
2	154	51182
3	155	38736
4	157	31314
5	161	26692
6	162	23085
7	164	20350
8	165	18235
9	166	16517
10	168	15115
11	169	13951
12	170	12963
13	172	12116
14	172	11353
15	173	10690
16	174	10118
17	175	9582
18	176	9105
19	177	8680
20	178	8301
21	178	7955
22	179	7639
23	180	7349
24	181	7078
25	182	6825
26	182	6592
27	183	6376
28	184	6175
29	185	5988
30	185	5810
31	186	5640
32	187	5481
33	187	5332
34	188	5190
35	189	5080
36	190	4953
37	190	4831
38	191	4716
39	191	4606
40	192	4503
41	193	4404
42	193	4309
43	194	4218
44	194	4132
45	195	4050
46	195	3970
47	196	3893
48	196	3820
49	197	3750
50	197	3683
51	198	3618
52	199	3556
53	199	3496
54	200	3437
55	200	3381
56	201	3327
57	201	3274
58	202	3224
59	202	3174
60	204	3142
61	204	3099
62	205	3056
63	206	3014
64	206	2972
65	207	2931
66	207	2892
67	208	2853
68	208	2816
69	209	2779
70	209	2744
71	210	2709
72	210	2676
73	211	2643
74	211	2611
75	212	2581
76	212	2551
77	213	2521
78	213	2493
79	214	2465
80	214	2437
81	215	2410
82	215	2382
83	216	2356
84	216	2332
85	217	2307
86	217	2284
87	218	2261
88	219	2247
89	220	2225
90	220	2204
91	221	2182
92	221	2162
93	222	2141
94	222	2121
95	223	2101
96	223	2082
97	224	2063
98	224	2044
99	225	2026
100	225	2009
101	226	1991
102	226	1974
103	227	1958
104	227	1942
105	228	1925
106	228	1910
107	229	1894
108	229	1879
109	230	1864
110	230	1849
111	231	1834
112	231	1820
113	232	1806
114	232	1792
115	233	1778
116	234	1770
117	235	1757
118	235	1744
119	236	1732
120	236	1719
121	237	1706
122	237	1694
123	238	1682
124	238	1670
125	239	1659
126	239	1646
127	240	1635
128	240	1624
129	241	1613
130	241	1604
131	242	1594
132	243	1584
133	243	1573
134	244	1563
135	244	1553
136	245	1543
137	245	1534
138	246	1524
139	246	1514
140	247	1505
141	247	1495
142	247	1486
143	248	1476
144	249	1471
145	250	1462
146	250	1454
147	251	1445
148	251	1437
149	252	1429
150	252	1421
151	253	1413
152	253	1405
153	254	1397
154	254	1389
155	255	1381
156	256	1375
157	256	1367
158	257	1360
159	257	1353
160	258	1344
161	258	1337
162	259	1330
163	259	1323
164	260	1316
165	260	1309
166	261	1302
167	261	1295
168	262	1288
169	262	1282
170	263	1275
171	263	1269
172	264	1266
173	265	1260
174	266	1254
175	266	1248
176	267	1242
177	267	1236
178	268	1231
179	269	1225
180	269	1219
181	270	1214
182	270	1208
183	271	1202
184	271	1196
185	272	1191
186	272	1185
187	273	1180
188	273	1174
189	274	1169
190	274	1163
191	275	1158
192	275	1153
193	276	1147
194	276	1142
195	277	1137
196	277	1132
197	278	1127
198	278	1122
199	280	1121
200	281	1117
201	281	1112
202	282	1107
203	282	1102
204	283	1098
205	283	1093
206	284	1088
207	284	1084
208	285	1079
209	285	1074
210	286	1070
211	286	1066
212	287	1062
213	288	1057
214	288	1053
215	289	1049
216	289	1044
217	290	1040
218	290	1035
219	291	1031
220	291	1027
221	292	1023
222	292	1019
223	293	1015
224	293	1011
225	294	1009
226	295	1006
227	296	1002
228	296	998
229	297	996
230	298	993
231	298	989
232	299	985
233	299	981
234	300	978
235	301	974
236	301	971
237	302	967
238	302	963
239	303	959
240	303	956
241	304	952
242	304	948
243	305	945
244	305	941
245	306	938
246	306	934
247	307	931
248	307	927
249	308	924
250	308	921
251	309	918
252	310	915
253	310	912
254	311	909
255	311	906
256	312	903
257	313	900
258	313	897
259	314	894
260	314	891
261	315	888
262	316	885
263	316	882
264	317	879
265	317	876
266	318	873
267	318	870
268	319	867
269	319	864
270	320	861
271	320	858
272	321	855
273	321	852
274	322	849
275	322	846
276	323	844
277	324	843
278	325	840
279	326	838
280	326	836
281	327	833
282	327	830
283	328	827
284	328	824
285	329	822
286	329	819
287	330	817
288	331	814
289	331	811
290	332	809
291	332	806
292	333	803
293	333	801
294	334	798
295	334	795
296	335	793
297	335	790
298	336	787
299	336	785
300	337	783
301	337	780
302	338	778
303	338	775
304	339	774
305	340	772
306	341	770
307	342	768
308	342	766
309	343	764
310	343	762
311	344	759
312	345	757
313	345	755
314	346	752
315	346	750
316	347	748
317	347	745
318	348	743
319	348	741
320	349	738
321	349	736
322	350	734
323	350	731
324	351	729
325	351	727
326	352	725
327	352	723
328	353	720
329	353	718
330	355	718
331	355	715
332	356	713
333	356	711
334	357	709
335	357	707
336	358	705
337	359	703
338	359	701
339	360	699
340	360	697
341	361	695
342	361	693
343	362	690
344	362	688
345	363	686
346	363	684
347	364	682
348	364	680
349	365	678
350	365	676
351	366	674
352	367	672
353	367	670
354	368	668
